文件名,文件路径,策略类型,真策略,可执行,ML依赖,文件依赖,时间框架,市场类型,账户类型,ML库,代码行数,扫描状态,错误信息
20 【复现】因子择时？？？.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/20 【复现】因子择时？？？.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,sklearn; pandas; scipy; statsmodels; numpy,420,valid,
20 人人可躺平16年3400%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/20 人人可躺平16年3400%.txt,研究说明/非策略文档; 分钟级/日内策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,分钟级,期货/股指,单账户,numpy,66,no_initialize,no_initialize
20 冲天炮最高板策略，收益惊呆了我.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/20 冲天炮最高板策略，收益惊呆了我.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,sklearn,158,valid,
20 小市值高频交易法有赚就好 2年3.86%低回撤.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/20 小市值高频交易法有赚就好 2年3.86%低回撤.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,111,valid,
21 【原创】年化123%最大回撤14%涨停弱转强竞价战法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/21 【原创】年化123%最大回撤14%涨停弱转强竞价战法.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,345,valid,
21 以“网红”ETF轮动为例.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/21 以“网红”ETF轮动为例.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,是,是,是,是,分钟级,ETF,单账户,pandas; talib,243,valid,
21 利用宏观经济数据的中长线策略深度研究.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/21 利用宏观经济数据的中长线策略深度研究.txt,研究说明/非策略文档; ETF策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,日线,ETF,单账户,pandas; scipy; numpy,289,not_strategy,非策略文件（研究文档/配套资料）
21 北向资金股票轮动-优质策略可直接实盘.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/21 北向资金股票轮动-优质策略可直接实盘.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; talib,145,valid,
21 行业ETF轮动+择时，15年至今年化收益35%，回撤16%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/21 行业ETF轮动+择时，15年至今年化收益35%，回撤16%.txt,ETF策略; 期货/股指策略,是,是,否,否,日线,ETF,单账户,,302,valid,
22 “开弓”ETF轮动模型——改.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/22 “开弓”ETF轮动模型——改.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; talib,145,valid,
22 带上止损的核心资产轮动才更安心，低回撤，高收益率.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/22 带上止损的核心资产轮动才更安心，低回撤，高收益率.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,131,valid,
22 截止到21年12月依然有效的小市值适配因子.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/22 截止到21年12月依然有效的小市值适配因子.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,199,valid,
22 菜场大妈选股法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/22 菜场大妈选股法.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,173,valid,
22 菜场大妈高质低价法策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/22 菜场大妈高质低价法策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,399,valid,
23 wywy1995大神机器学习策略年化提升版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/23 wywy1995大神机器学习策略年化提升版.txt,研究说明/非策略文档; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,期货/股指,单账户,pandas; statsmodels; numpy,316,valid,
23 低价小盘简单有效.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/23 低价小盘简单有效.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,221,valid,
23 大盘择时，逻辑简单.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/23 大盘择时，逻辑简单.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; talib; numpy,256,valid,
23 简单到发指的股指策略(2013到现在收益10949%).txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/23 简单到发指的股指策略(2013到现在收益10949%).txt,多账户/子账户策略; 期货/股指策略,是,是,否,否,日线,期货/股指,多账户,,64,valid,
24 低AH溢价选股.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/24 低AH溢价选股.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,73,valid,
24 多因子线性回归组合策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/24 多因子线性回归组合策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,344,valid,
24 大容量低回撤价值投资-排除小市值因子.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/24 大容量低回撤价值投资-排除小市值因子.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,sklearn; pandas; statsmodels; numpy,173,valid,
24 宽基ETF动量轮动钝化RSRS择时-回撤小.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/24 宽基ETF动量轮动钝化RSRS择时-回撤小.txt,依赖ML库策略; ETF策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,ETF,单账户,statsmodels; numpy,159,valid,
24 现在便宜的300就是最好的，收益惊人.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/24 现在便宜的300就是最好的，收益惊人.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,170,valid,
25 ROE-PB模型的优化.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/25 ROE-PB模型的优化.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,179,valid,
25 低价股优化，18年至今10625.40%，加入防未来函数.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/25 低价股优化，18年至今10625.40%，加入防未来函数.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,pandas; numpy,203,valid,
25 冷饭热吃之三，14年至今年华99.99%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/25 冷饭热吃之三，14年至今年华99.99%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,384,valid,
25 基本不耍六毛的ETF轮动策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/25 基本不耍六毛的ETF轮动策略.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,pandas; talib,221,valid,
25 年初至今4倍，极致的Day Trading，56.8%胜率.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/25 年初至今4倍，极致的Day Trading，56.8%胜率.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,611,valid,
26 【深度解析 六】高股息率-低PEG-低股价-市值序列模型.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/26 【深度解析 六】高股息率-低PEG-低股价-市值序列模型.txt,研究说明/非策略文档; 分钟级/日内策略; 依赖ML库策略; 期货/股指策略,否,是,是,否,分钟级,期货/股指,单账户,pandas,390,valid,
26 波动率过滤后相关性最小etf轮动.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/26 波动率过滤后相关性最小etf轮动.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,69,valid,
26 稳定高回报周期股策略2.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/26 稳定高回报周期股策略2.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,251,valid,
26 近几年一直有效的股票BOLL择时策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/26 近几年一直有效的股票BOLL择时策略.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,分钟级,期货/股指,单账户,,281,valid,
26 这个可入得了你们法眼.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/26 这个可入得了你们法眼.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; talib; numpy,386,valid,
27 中证500指增+CTA，胜率52%盈亏比1.9。不输顶尖私募.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/27 中证500指增+CTA，胜率52%盈亏比1.9。不输顶尖私募.txt,依赖ML库策略; 多账户/子账户策略; 期货/股指策略,是,否,是,否,日线,期货/股指,多账户,pandas; numpy,472,missing_api,missing_api
27 人工智能强化学习DQN交易智能体（回馈社区公开训练代码）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/27 人工智能强化学习DQN交易智能体（回馈社区公开训练代码）.txt,研究说明/非策略文档; 依赖ML库策略; 依赖文件资源策略; 期货/股指策略,否,是,是,是,日线,期货/股指,单账户,pandas; torch; numpy,140,valid,
27 基于RSRS的趋势交易与网格交易相结合的尝试.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/27 基于RSRS的趋势交易与网格交易相结合的尝试.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,talib; statsmodels; numpy,154,valid,
27 根据动量模型切换大小盘板块选股策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/27 根据动量模型切换大小盘板块选股策略.txt,依赖ML库策略; 多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,多账户,pandas; numpy,409,valid,
27 追涨大师（超额142）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/27 追涨大师（超额142）.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,sklearn,189,valid,
28 XGBoost模型多因子策略分享.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/28 XGBoost模型多因子策略分享.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,sklearn; pandas; talib; scipy; statsmodels; xgboost; numpy,510,valid,
28 从相关系数角度探讨etf轮动高评分.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/28 从相关系数角度探讨etf轮动高评分.txt,研究说明/非策略文档; ETF策略; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,ETF,单账户,numpy,207,valid,
28 正黄旗大妈策略V3.0修改版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/28 正黄旗大妈策略V3.0修改版.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,265,valid,
28 韶华研究之十九，一致性用在微盘控制回撤.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/28 韶华研究之十九，一致性用在微盘控制回撤.txt,研究说明/非策略文档; 分钟级/日内策略; 依赖ML库策略; 期货/股指策略,否,否,是,否,分钟级,期货/股指,单账户,pandas; numpy,435,not_strategy,非策略文件（研究文档/配套资料）
29 F_Score 选股，年化80%+.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/29 F_Score 选股，年化80%+.txt,依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,单账户,,234,valid,
29 北上资金（北向资金港资外资）因子分析与策略分享.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/29 北上资金（北向资金港资外资）因子分析与策略分享.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略,否,否,是,否,分钟级,期货/股指,多账户,pandas; talib; numpy,221,syntax_error,语法错误: invalid syntax (行 68)
29 穿越牛熊2.0（非小市值）年化50%的cta策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/29 穿越牛熊2.0（非小市值）年化50%的cta策略.txt,多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,是,否,是,日线,期货/股指,多账户,,116,valid,
29 高增长业绩股池小市值成长型策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/29 高增长业绩股池小市值成长型策略.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,pandas,237,valid,
30 ETF宽基轮动修改版-1.0.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/30 ETF宽基轮动修改版-1.0.txt,ETF策略; 期货/股指策略,是,是,否,否,日线,ETF,单账户,,141,valid,
30 【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/30 【超跌反弹v1.0】3年2.3倍的超跌反弹小牛股.txt,依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,分钟级,期货/股指,单账户,talib,220,valid,
30 价值成长轮动策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/30 价值成长轮动策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,308,valid,
30 挖掘特色估值体系因子，把握投资机会，年化150%+.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/30 挖掘特色估值体系因子，把握投资机会，年化150%+.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; numpy,252,valid,
30 错杀反弹，掌握人性规律，开启投资新纪元.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/30 错杀反弹，掌握人性规律，开启投资新纪元.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas,333,valid,
31 ETF核心资产轮动动量因子加RSRS择时每日策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/31 ETF核心资产轮动动量因子加RSRS择时每日策略.txt,依赖ML库策略; ETF策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,ETF,单账户,numpy,197,valid,
31 RSRS择时+货币基金--6年8倍行业周期股策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/31 RSRS择时+货币基金--6年8倍行业周期股策略.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; statsmodels; numpy,358,valid,
31 《趋势永存》持续16年跑赢大盘的真正靠谱策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/31 《趋势永存》持续16年跑赢大盘的真正靠谱策略.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,talib; numpy,153,valid,
31 蛇皮走位小市值策略V1.0.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/31 蛇皮走位小市值策略V1.0.txt,期货/股指策略,是,是,否,否,日线,期货/股指,单账户,,193,valid,
31 跟着基金报团！！！174%  回撤  7.33%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/31 跟着基金报团！！！174%  回撤  7.33%.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; talib; statsmodels; numpy,221,valid,
32 EPO优化低相关etf组合.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/32 EPO优化低相关etf组合.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; scipy; numpy,80,valid,
32 北向Boll带_ETF组合宝付费策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/32 北向Boll带_ETF组合宝付费策略.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,是,是,是,是,分钟级,ETF,单账户,pandas; talib,377,valid,
32 北向资金A股择时策略（5年16倍）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/32 北向资金A股择时策略（5年16倍）.txt,依赖ML库策略; 多账户/子账户策略; 依赖文件资源策略; 期货/股指策略,是,否,是,是,日线,期货/股指,多账户,pandas,122,missing_api,missing_api
"32 追高概率涨停策略, 2022年化350%.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/32 追高概率涨停策略, 2022年化350%.txt",依赖ML库策略; 分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,否,是,是,分钟级,期货/股指,单账户,numpy,297,missing_api,missing_api
32 非线性关系市值（不是小市值）4只绩优股组合.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/32 非线性关系市值（不是小市值）4只绩优股组合.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,347,valid,
33 alpha191短周期价量特征因子选股，年化46.77.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/33 alpha191短周期价量特征因子选股，年化46.77.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,sklearn; pandas; statsmodels; numpy,244,valid,
33 回馈社区顺便搞积分《一个完整的机器学习pipeline》.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/33 回馈社区顺便搞积分《一个完整的机器学习pipeline》.txt,研究说明/非策略文档; 依赖ML库策略; 依赖文件资源策略; 期货/股指策略,否,是,是,是,日线,期货/股指,单账户,pandas; numpy,317,valid,
33 最适合上班族的策略-神奇公式策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/33 最适合上班族的策略-神奇公式策略.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,sklearn; pandas; talib; scipy; numpy,523,valid,
33 胜率88.9%之君正集团策略-大阳分歧反包.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/33 胜率88.9%之君正集团策略-大阳分歧反包.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,否,否,是,分钟级,期货/股指,单账户,,193,missing_api,missing_api
34 【回撤二波2.0】透过一次过拟合的机器学习摸底策略的收益上限.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/34 【回撤二波2.0】透过一次过拟合的机器学习摸底策略的收益上限.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,否,是,是,是,分钟级,期货/股指,单账户,lightgbm,285,valid,
34 十年回测 年化103.32% 最大回撤23.89%.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/34 十年回测 年化103.32% 最大回撤23.89%.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,327,valid,
34 趋势交易5.0 无择时-2年5倍不是梦.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/34 趋势交易5.0 无择时-2年5倍不是梦.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,scipy,143,valid,
34 韶华研究之十八 首板低开201系列.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/34 韶华研究之十八 首板低开201系列.txt,依赖ML库策略; 研究说明/非策略文档; 期货/股指策略; 分钟级/日内策略; 依赖文件资源策略,否,否,是,是,分钟级,期货/股指,单账户,sklearn; pandas; numpy,492,not_strategy,非策略文件（研究文档/配套资料）
"35 【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/35 【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍.txt",依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,289,valid,
35 小市值市场轮动版 5年12倍.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/35 小市值市场轮动版 5年12倍.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; statsmodels; numpy,350,valid,
35 精选价值策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/35 精选价值策略.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; numpy,357,valid,
35 自适应量化终极算法2.0 （全新升级）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/35 自适应量化终极算法2.0 （全新升级）.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,sklearn; pandas; numpy,317,valid,
35 超稳+翻倍，贝塔值只有0.048的期指策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/35 超稳+翻倍，贝塔值只有0.048的期指策略.txt,依赖ML库策略; ETF策略; 期货/股指策略; 分钟级/日内策略; 多账户/子账户策略; 依赖文件资源策略,是,否,是,是,分钟级,ETF,多账户,pandas; talib; numpy,404,missing_api,missing_api
"36 【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍.txt","/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/36 【菜场大妈】股息率小市值策略,10年206倍,5年10.8倍.txt",依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas,290,valid,
36 快过年了。不想呆在小市值的，可以拿这个策略躲一躲.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/36 快过年了。不想呆在小市值的，可以拿这个策略躲一躲.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; talib; numpy,217,valid,
36 最简强者恒强策略.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/36 最简强者恒强策略.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas,80,valid,
36 致敬市场(6) ，指数期货贴水.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/36 致敬市场(6) ，指数期货贴水.txt,依赖ML库策略; 多账户/子账户策略; 期货/股指策略,是,否,是,否,日线,期货/股指,多账户,pandas,71,missing_api,missing_api
37 PEG+EBIT对小市值因子的优化.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/37 PEG+EBIT对小市值因子的优化.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; numpy,192,valid,
37 三阳三阴战法.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/37 三阳三阴战法.txt,分钟级/日内策略; 依赖文件资源策略; 期货/股指策略,是,否,否,是,分钟级,期货/股指,单账户,,375,missing_api,missing_api
37 微盘股扩散指数双均线择时.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/37 微盘股扩散指数双均线择时.txt,依赖ML库策略; 依赖文件资源策略; 期货/股指策略,是,是,是,是,日线,期货/股指,单账户,pandas; talib; numpy,337,valid,
37 择时模块加风控的实际效果.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/37 择时模块加风控的实际效果.txt,依赖ML库策略; 分钟级/日内策略; 期货/股指策略,是,是,是,否,分钟级,期货/股指,单账户,pandas; talib; numpy,308,valid,
38 ETF动量轮动RSRS择时-魔改3-北向资金择时-再优化.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/38 ETF动量轮动RSRS择时-魔改3-北向资金择时-再优化.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,numpy,212,valid,
38 ETF动量轮动RSRS择时-魔改4-低通滤波.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/38 ETF动量轮动RSRS择时-魔改4-低通滤波.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,numpy,184,valid,
38 ETF策略之核心资产轮动（线性增加权重）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/38 ETF策略之核心资产轮动（线性增加权重）.txt,依赖ML库策略; ETF策略; 期货/股指策略,是,是,是,否,日线,ETF,单账户,pandas; numpy,89,valid,
38 【回顾3】ETF策略之核心资产轮动-增强版.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/38 【回顾3】ETF策略之核心资产轮动-增强版.txt,研究说明/非策略文档; ETF策略; 依赖ML库策略; 期货/股指策略,否,是,是,否,日线,ETF,单账户,pandas; numpy,124,valid,
39 多因子策略（多元线性回归）.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/39 多因子策略（多元线性回归）.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; statsmodels; numpy,348,valid,
39 大资金强基本面优质股组合策略 收益1217% 无小市值因子.txt,/Users/yuping/Downloads/git/jk2bt-main/jkcode/jkcode/39 大资金强基本面优质股组合策略 收益1217% 无小市值因子.txt,依赖ML库策略; 期货/股指策略,是,是,是,否,日线,期货/股指,单账户,pandas; statsmodels,200,valid,
