timestamp,date,north_money
2026-04-01 10:42:46,2026-04-01,0
2026-04-01 10:42:46,2026-04-01,0
2026-04-01 10:42:46,2026-04-01,0
2026-04-01 10:42:46,2026-04-01,0
2026-04-01 10:42:46,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
2026-04-01 10:42:57,2026-04-01,0
